# ell C_ell
1.346600e+04 3.324580e+00
1.346700e+04 3.324779e+00
1.346800e+04 3.324978e+00
1.346900e+04 3.325177e+00
1.347000e+04 3.325375e+00
1.347100e+04 3.325574e+00
1.347200e+04 3.325773e+00
1.347300e+04 3.325972e+00
1.347400e+04 3.326171e+00
1.347500e+04 3.326370e+00
1.347600e+04 3.326569e+00
1.347700e+04 3.326768e+00
1.347800e+04 3.326967e+00
1.347900e+04 3.327165e+00
1.348000e+04 3.327364e+00
1.348100e+04 3.327563e+00
1.348200e+04 3.327762e+00
1.348300e+04 3.327961e+00
1.348400e+04 3.328160e+00
1.348500e+04 3.328359e+00
1.348600e+04 3.328558e+00
1.348700e+04 3.328756e+00
1.348800e+04 3.328955e+00
1.348900e+04 3.329154e+00
1.349000e+04 3.329353e+00
1.349100e+04 3.329552e+00
1.349200e+04 3.329751e+00
1.349300e+04 3.329950e+00
1.349400e+04 3.330149e+00
1.349500e+04 3.330348e+00
1.349600e+04 3.330546e+00
1.349700e+04 3.330745e+00
1.349800e+04 3.330944e+00
1.349900e+04 3.331143e+00
1.350000e+04 3.331342e+00
1.350100e+04 3.331541e+00
1.350200e+04 3.331740e+00
1.350300e+04 3.331939e+00
1.350400e+04 3.332138e+00
1.350500e+04 3.332336e+00
1.350600e+04 3.332535e+00
1.350700e+04 3.332734e+00
1.350800e+04 3.332933e+00
1.350900e+04 3.333132e+00
1.351000e+04 3.333331e+00
1.351100e+04 3.333530e+00
1.351200e+04 3.333729e+00
1.351300e+04 3.333928e+00
1.351400e+04 3.334126e+00
1.351500e+04 3.334325e+00
1.351600e+04 3.334524e+00
1.351700e+04 3.334723e+00
1.351800e+04 3.334922e+00
1.351900e+04 3.335121e+00
1.352000e+04 3.335320e+00
1.352100e+04 3.335519e+00
1.352200e+04 3.335718e+00
1.352300e+04 3.335916e+00
1.352400e+04 3.336115e+00
1.352500e+04 3.336314e+00
1.352600e+04 3.336513e+00
1.352700e+04 3.336712e+00
1.352800e+04 3.336911e+00
1.352900e+04 3.337110e+00
1.353000e+04 3.337309e+00
1.353100e+04 3.337508e+00
1.353200e+04 3.337706e+00
1.353300e+04 3.337905e+00
1.353400e+04 3.338104e+00
1.353500e+04 3.338303e+00
1.353600e+04 3.338502e+00
1.353700e+04 3.338701e+00
1.353800e+04 3.338900e+00
1.353900e+04 3.339099e+00
1.354000e+04 3.339298e+00
1.354100e+04 3.339496e+00
1.354200e+04 3.339695e+00
1.354300e+04 3.339894e+00
1.354400e+04 3.340093e+00
1.354500e+04 3.340292e+00
1.354600e+04 3.340491e+00
1.354700e+04 3.340690e+00
